x_i,r_i
60092054,0.035639
-592619631,-0.351471
137251498,0.081401
566397741,0.335920
-497006434,-0.294765
-591620759,-0.350879
1169823090,0.693800
-1194355387,-0.708350
-113830362,-0.067511
940741057,0.557936
350496698,0.207873
-1085982243,-0.644075
419618606,0.248868
1646240921,0.976354
-1174746750,-0.696720
664539381,0.394126
1256762294,0.745362
891987441,0.529021
-1675902262,-0.993946
-1237372275,-0.733862
-1554971714,-0.922224
-752292407,-0.446170
-839099502,-0.497654
1436825253,0.852154
-286265530,-0.169779
1150702625,0.682460
-47096870,-0.027932
90387773,0.053607
441251406,0.261698
239939833,0.142304
-378074206,-0.224229
399427157,0.236893
1330323670,0.788990
-119645103,-0.070959
460927722,0.273367
-1450442259,-0.860230
-1305413922,-0.774216
392769065,0.232944
-1189406286,-0.705414
397049861,0.235483
162562150,0.096413
1341357697,0.795534
-289437702,-0.171660
-566470499,-0.335963
24069486,0.014275
1044489561,0.619467
160482754,0.095179
-93445195,-0.055421
1066290678,0.632397
271481521,0.161011
701012746,0.415757
-903939763,-0.536110
112337406,0.066625
8607369,0.005105
1408782290,0.835522
-1409781403,-0.836115
361417094,0.214350
1573916897,0.933460
1003531290,0.595175
-444161027,-0.263423
677104782,0.401578
46334393,0.027480
-202770462,-0.120259
877668629,0.520529
595866390,0.353397
-436141807,-0.258667
-410256598,-0.243315
284039341,0.168458
-1006205666,-0.596762
-1325570327,-0.786171
-235536910,-0.139692
1143212741,0.678018
-1240413530,-0.735666
1012009793,0.600204
-576272326,-0.341776
259528541,0.153921
-905671762,-0.537137
-32029159,-0.018996
1336189442,0.792469
332060277,0.196939
251580470,0.149208
-373559439,-0.221551
1589990218,0.942993
351232013,0.208309
-144695234,-0.085816
1264410441,0.749898
-428465134,-0.254115
-1547482075,-0.917782
424969158,0.252041
85945761,0.050973
1409539162,0.835971
944157373,0.559962
-35945778,-0.021319
-234589575,-0.139131
-1201486814,-0.712579
708062165,0.419938
1490036054,0.883712
80037329,0.047469
771138410,0.457348
-1114058899,-0.660727
460387166,0.273047
94977961,0.056330
593150514,0.351786
292304261,0.173360
-563612442,-0.334268
-1663158271,-0.986388
665446522,0.394664
573077021,0.339881
-883772946,-0.524149
-1185904935,-0.703338
-398041534,-0.236071
-723375819,-0.429020
13251190,0.007859
780338225,0.462804
463596426,0.274950
1633707725,0.968921
459996798,0.272815
283576329,0.168184
-1283073966,-0.760967
1454687973,0.862748
358424070,0.212575
-1288410527,-0.764132
-363139942,-0.215371
1490248061,0.883838
-1520690930,-0.901893
-566131911,-0.335762
737243234,0.437245
-114635115,-0.067988
-255920234,-0.151781
1138436753,0.675185
-683070550,-0.405116
-147053011,-0.087214
1375748510,0.815930
-1482901399,-0.879481
232351346,0.137803
556990533,0.330341
1514536742,0.898243
1002964161,0.594839
-640096070,-0.379629
-1484950307,-0.880696
795457582,0.471771
-887265383,-0.526220
193329794,0.114660
-1058792459,-0.627950
1468036278,0.870664
-1087129359,-0.644756
-51485750,-0.030535
245501325,0.145602
-1000162114,-0.593177
-422555447,-0.250610
-826839918,-0.490383
1660740005,0.984953
-223045562,-0.132284
-625015007,-0.370685
-1050288934,-0.622906
366784573,0.217533
1122864974,0.665950
1084896249,0.643431
-257557342,-0.152752
1231294805,0.730258
-1570723370,-0.931566
426946385,0.253214
806589418,0.478373
-1551360787,-0.920083
-347836450,-0.206295
-678964951,-0.402681
-1685984590,-0.999925
-517444859,-0.306887
87746918,0.052041
-817925759,-0.485096
12830970,0.007610
-987294819,-0.585546
970563182,0.575623
414050393,0.245565
141784770,0.084090
1283501749,0.761221
808556278,0.479539
-1510077007,-0.895598
-809845750,-0.480304
-1385933747,-0.821971
-245933314,-0.145858
-1538705015,-0.912577
68870354,0.040846
-867459995,-0.514474
-1628769658,-0.965992
-672185375,-0.398660
204778778,0.121450
194158333,0.115152
10478990,0.006215
-496073543,-0.294212
412117218,0.244419
-300944363,-0.178484
1304771606,0.773835
-1220815855,-0.724043
1072028714,0.635800
-1666403411,-0.988312
-1538425314,-0.912411
1218087401,0.722425
518278898,0.307381
-1266911803,-0.751381
-279530586,-0.165784
116686401,0.069204
1534757178,0.910235
-1076538787,-0.638475
-139303762,-0.082618
-223213287,-0.132384
1268699906,0.752442
1491591541,0.884635
619551030,0.367444
-527302031,-0.312733
-1617497014,-0.959307
-698926323,-0.414520
190372158,0.112906
-1602108855,-0.950180
-1614793454,-0.957703
374404901,0.222052
-334484282,-0.198376
-185261919,-0.109875
1473731930,0.874042
-1507512899,-0.894077
-285008946,-0.169033
205419897,0.121831
943764770,0.559729
-1679919403,-0.996328
117222998,0.069523
-270100271,-0.160191
-380631958,-0.225746
291105389,0.172649
-131371938,-0.077914
-133897559,-0.079412
177247026,0.105122
1583292549,0.939021
1219059174,0.723001
-224974079,-0.133428
160246138,0.095039
-105369315,-0.062493
1350830830,0.801152
333040089,0.197520
35131202,0.020836
80327733,0.047641
-1673233546,-0.992363
161453873,0.095755
43191434,0.025616
-5586483,-0.003313
-1015597186,-0.602331
27912969,0.016555
-491296430,-0.291379
-71503387,-0.042407
120866566,0.071684
587242849,0.348283
-295834214,-0.175454
1170496637,0.694199
-5819890,-0.003452
868877881,0.515315
54976866,0.032606
-788555371,-0.467677
-384368490,-0.227962
245562769,0.145639
-1268642646,-0.752408
-348143315,-0.206477
686701214,0.407269
158784361,0.094172
-1407797390,-0.834938
1526754117,0.905489
-1539119066,-0.912822
-1294501951,-0.767745
-108287558,-0.064223
-905990179,-0.537326
-1109487314,-0.658016
-606786919,-0.359874
-546362494,-0.324037
-833214731,-0.494164
524697014,0.311188
-1588147215,-0.941900
-1522596662,-0.903023
-896604019,-0.531759
-205359682,-0.121795
-1292782647,-0.766725
890273170,0.528004
264211621,0.156699
1038565702,0.615954
197245473,0.116983
450387418,0.267116
-677369027,-0.401735
-182704050,-0.108358
1589720825,0.942833
1563618722,0.927353
463690837,0.275006
-769379626,-0.456304
404816465,0.240089
-299109142,-0.177396
1309554669,0.776672
-1314527010,-0.779621
203453481,0.120664
931576754,0.552501
-1508878843,-0.894887
397628006,0.235826
-605723519,-0.359243
419826170,0.248991
-245641571,-0.145685
399636334,0.237017
-455857319,-0.270360
-1288427582,-0.764142
-1480771147,-0.878217
-217915402,-0.129241
552050865,0.327411
-64299766,-0.038135
-265048243,-0.157195
-28666882,-0.017002
-1668735863,-0.989696
232485330,0.137883
747161445,0.443127
-390521978,-0.231611
-194480415,-0.115343
-1328108006,-0.787676
971545085,0.576205
334626446,0.198461
-11270215,-0.006684
185915874,0.110263
-1569079531,-0.930591
-147569386,-0.087521
210806545,0.125025
62766378,0.037226
-1435152723,-0.851162
-94210274,-0.055874
-139350807,-0.082646
-697262094,-0.413533
188670149,0.111897
-1467310938,-0.870234
1374744897,0.815335
1468811834,0.871124
-117666467,-0.069786
-1334952530,-0.791735
-880358375,-0.522124
-763952126,-0.453086
-407966603,-0.241957
25846326,0.015329
1518474609,0.900579
1357288778,0.804982
13178381,0.007816
304058942,0.180332
933242185,0.553488
254297618,0.150819
-95903195,-0.056878
-1095117370,-0.649493
472175521,0.280038
1189666394,0.705569
390965437,0.231874
876131534,0.519617
-1347258247,-0.799033
167552546,0.099372
263373269,0.156202
248985430,0.147669
-316544047,-0.187736
1244095850,0.737850
-224066195,-0.132889
1211360606,0.718435
400197033,0.237349
241460274,0.143206
473697157,0.280941
433637094,0.257182
1168776705,0.693179
-1045534086,-0.620086
-1575883747,-0.934627
-1044159506,-0.619271
-6484775,-0.003846
247971906,0.147067
299581237,0.177676
-437468042,-0.259454
1188440625,0.704842
-939381366,-0.557129
1165958349,0.691508
-1051627394,-0.623700
-1444491767,-0.856701
403110482,0.239077
-424731419,-0.251900
-430074,-0.000255
195481697,0.115936
-90247526,-0.053524
159340413,0.094502
671107854,0.398021
-410220231,-0.243294
58348130,0.034605
1090413717,0.646704
530385302,0.314561
117756049,0.069839
-1384583766,-0.821170
-288531411,-0.171123
-1305857122,-0.774479
-1194656151,-0.708528
1651640434,0.979557
473421381,0.280777
1227739430,0.728149
1665198785,0.987598
-92509510,-0.054866
-355734819,-0.210980
1424058926,0.844582
-1043927655,-0.619134
615931010,0.365297
-1527631371,-0.906009
-113637706,-0.067396
680779505,0.403757
336438730,0.199535
1099285389,0.651965
393227966,0.233216
-1181935927,-0.700984
310873746,0.184373
837564325,0.496744
1040706118,0.617223
-1273074399,-0.755036
-393683238,-0.233486
1412277821,0.837595
22593870,0.013400
-1164822023,-0.690834
-107094366,-0.063516
-24336555,-0.014434
-1365918762,-0.810101
1391023441,0.824990
-1228778006,-0.728765
-1004645651,-0.595836
433414622,0.257050
-525134039,-0.311447
-1280734030,-0.759579
174211333,0.103321
219790182,0.130353
358963073,0.212894
-326743302,-0.193785
-1403352675,-0.832302
735596654,0.436268
280260185,0.166217
450025666,0.266902
1386464437,0.822286
662841590,0.393119
1667969969,0.989241
1117322762,0.662663
-1324545459,-0.785563
-108278530,-0.064218
-314376311,-0.186451
1564082898,0.927628
816837221,0.484451
-17480570,-0.010367
1237035489,0.733662
959885082,0.569290
-175598339,-0.104144
-917366898,-0.544073
687049401,0.407476
-1107866910,-0.657055
-108164587,-0.064150
-1437512170,-0.852561
-92308975,-0.054747
-99377622,-0.058939
-1144526419,-0.678797
1053126686,0.624589
910348265,0.539910
-1063587598,-0.630794
770395077,0.456907
28083622,0.016656
415720513,0.246556
-396620998,-0.235228
-437401507,-0.259415
1253578414,0.743474
-1592422631,-0.944436
86848770,0.051508
455079797,0.269899
190130998,0.112763
-225695631,-0.133856
120862282,0.071681
306508045,0.181784
-97236162,-0.057669
62425161,0.037023
288249618,0.170955
19549477,0.011594
1196523206,0.709635
439256737,0.260515
62414682,0.037017
1287660477,0.763687
-1543746098,-0.915567
